Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checking 500 website,Chrome 122.0.0.0,,,2024-03-08 12:01:29,2024-03-08 12:01:48,19.371s,PASSED
,,,,,,,
Test Cases/Login Page 500,Chrome 122.0.0.0,,,2024-03-08 12:01:29,2024-03-08 12:01:48,18.993s,PASSED
openBrowser(URL),Chrome 122.0.0.0,,,2024-03-08 12:01:30,2024-03-08 12:01:43,13.373s,PASSED
"click(findTestObject(""Homepage/a_Login""))",Chrome 122.0.0.0,,,2024-03-08 12:01:43,2024-03-08 12:01:44,0.390s,PASSED
"verifyTextPresent(""Kata Sandi"", false)",Chrome 122.0.0.0,,,2024-03-08 12:01:44,2024-03-08 12:01:47,3.612s,PASSED
try,Chrome 122.0.0.0,,,2024-03-08 12:01:47,2024-03-08 12:01:47,0.111s,PASSED
catch (org.openqa.selenium.WebDriverException e),Chrome 122.0.0.0,,,2024-03-08 12:01:47,2024-03-08 12:01:47,0.048s,PASSED
Finally,Chrome 122.0.0.0,,,2024-03-08 12:01:47,2024-03-08 12:01:48,0.796s,PASSED
