Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"randomNumber = ""0818"" + lastNineDigits",,,,2023-08-28 13:51:34,2023-08-28 13:51:34,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:34,2023-08-28 13:51:34,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:34,2023-08-28 13:51:35,1.283s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0819 XL,,,,2023-08-28 13:51:35,2023-08-28 13:51:37,1.679s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:36,2023-08-28 13:51:36,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:36,2023-08-28 13:51:36,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:36,2023-08-28 13:51:36,0.002s,PASSED
"randomNumber = ""0819"" + lastNineDigits",,,,2023-08-28 13:51:36,2023-08-28 13:51:36,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:36,2023-08-28 13:51:36,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:36,2023-08-28 13:51:37,1.316s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0821 Simpati,,,,2023-08-28 13:51:37,2023-08-28 13:51:39,1.636s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:37,2023-08-28 13:51:37,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:37,2023-08-28 13:51:37,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:37,2023-08-28 13:51:37,0.000s,PASSED
"randomNumber = ""0821"" + lastNineDigits",,,,2023-08-28 13:51:37,2023-08-28 13:51:37,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:37,2023-08-28 13:51:37,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:37,2023-08-28 13:51:39,1.242s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0822 Simpati,,,,2023-08-28 13:51:39,2023-08-28 13:51:40,1.599s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:39,2023-08-28 13:51:39,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:39,2023-08-28 13:51:39,0.001s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:39,2023-08-28 13:51:39,0.000s,PASSED
"randomNumber = ""0822"" + lastNineDigits",,,,2023-08-28 13:51:39,2023-08-28 13:51:39,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:39,2023-08-28 13:51:39,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:39,2023-08-28 13:51:40,1.327s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0823 Simpati,,,,2023-08-28 13:51:40,2023-08-28 13:51:42,1.508s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:40,2023-08-28 13:51:40,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:40,2023-08-28 13:51:40,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:40,2023-08-28 13:51:40,0.001s,PASSED
"randomNumber = ""0823"" + lastNineDigits",,,,2023-08-28 13:51:40,2023-08-28 13:51:40,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:40,2023-08-28 13:51:40,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:40,2023-08-28 13:51:42,1.264s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0831 AXIS,,,,2023-08-28 13:51:42,2023-08-28 13:51:43,1.749s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:42,2023-08-28 13:51:42,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:42,2023-08-28 13:51:42,0.001s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:42,2023-08-28 13:51:42,0.000s,PASSED
"randomNumber = ""0831"" + lastNineDigits",,,,2023-08-28 13:51:42,2023-08-28 13:51:42,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:42,2023-08-28 13:51:42,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:42,2023-08-28 13:51:43,1.413s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0832 AXIS,,,,2023-08-28 13:51:43,2023-08-28 13:51:45,1.619s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:44,2023-08-28 13:51:44,0.002s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:44,2023-08-28 13:51:44,0.001s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:44,2023-08-28 13:51:44,0.000s,PASSED
"randomNumber = ""0832"" + lastNineDigits",,,,2023-08-28 13:51:44,2023-08-28 13:51:44,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:44,2023-08-28 13:51:44,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:44,2023-08-28 13:51:45,1.277s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0833 AXIS,,,,2023-08-28 13:51:45,2023-08-28 13:51:47,1.600s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:45,2023-08-28 13:51:45,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:45,2023-08-28 13:51:45,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:45,2023-08-28 13:51:45,0.000s,PASSED
"randomNumber = ""0833"" + lastNineDigits",,,,2023-08-28 13:51:45,2023-08-28 13:51:45,0.005s,PASSED
return randomNumber,,,,2023-08-28 13:51:45,2023-08-28 13:51:45,0.001s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:45,2023-08-28 13:51:47,1.288s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0838 AXIS,,,,2023-08-28 13:51:47,2023-08-28 13:51:49,1.820s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:47,2023-08-28 13:51:47,0.002s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:47,2023-08-28 13:51:47,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:47,2023-08-28 13:51:47,0.000s,PASSED
"randomNumber = ""0838"" + lastNineDigits",,,,2023-08-28 13:51:47,2023-08-28 13:51:47,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:47,2023-08-28 13:51:47,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:47,2023-08-28 13:51:49,1.500s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0852 Kartu As,,,,2023-08-28 13:51:49,2023-08-28 13:51:50,1.533s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:49,2023-08-28 13:51:49,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:49,2023-08-28 13:51:49,0.001s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:49,2023-08-28 13:51:49,0.000s,PASSED
"randomNumber = ""0852"" + lastNineDigits",,,,2023-08-28 13:51:49,2023-08-28 13:51:49,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:49,2023-08-28 13:51:49,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:49,2023-08-28 13:51:50,1.257s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0853 Kartu As,,,,2023-08-28 13:51:50,2023-08-28 13:51:52,1.491s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:51:50,2023-08-28 13:51:50,0.001s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:51:50,2023-08-28 13:51:50,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:51:50,2023-08-28 13:51:50,0.000s,PASSED
"randomNumber = ""0853"" + lastNineDigits",,,,2023-08-28 13:51:50,2023-08-28 13:51:50,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:51:50,2023-08-28 13:51:50,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:51:50,2023-08-28 13:51:52,1.275s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0855 INDOSAT Matrix,,,,2023-08-28 13:51:52,2023-08-28 13:51:53,1.605s,FAILED
