Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
random = new java.util.Random(),,,,2023-08-28 13:52:15,2023-08-28 13:52:15,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:15,2023-08-28 13:52:15,0.000s,PASSED
"randomNumber = ""0895"" + lastNineDigits",,,,2023-08-28 13:52:15,2023-08-28 13:52:15,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:15,2023-08-28 13:52:15,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:15,2023-08-28 13:52:17,1.222s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0896 TRI,,,,2023-08-28 13:52:17,2023-08-28 13:52:18,1.495s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:17,2023-08-28 13:52:17,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:17,2023-08-28 13:52:17,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:17,2023-08-28 13:52:17,0.000s,PASSED
"randomNumber = ""0896"" + lastNineDigits",,,,2023-08-28 13:52:17,2023-08-28 13:52:17,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:17,2023-08-28 13:52:17,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:17,2023-08-28 13:52:18,1.245s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0897 TRI,,,,2023-08-28 13:52:18,2023-08-28 13:52:20,1.450s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:18,2023-08-28 13:52:18,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:18,2023-08-28 13:52:18,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:18,2023-08-28 13:52:18,0.000s,PASSED
"randomNumber = ""0897"" + lastNineDigits",,,,2023-08-28 13:52:18,2023-08-28 13:52:18,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:18,2023-08-28 13:52:18,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:18,2023-08-28 13:52:20,1.243s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0898 TRI,,,,2023-08-28 13:52:20,2023-08-28 13:52:21,1.506s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:20,2023-08-28 13:52:20,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:20,2023-08-28 13:52:20,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:20,2023-08-28 13:52:20,0.000s,PASSED
"randomNumber = ""0898"" + lastNineDigits",,,,2023-08-28 13:52:20,2023-08-28 13:52:20,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:20,2023-08-28 13:52:20,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:20,2023-08-28 13:52:21,1.246s,FAILED
,,,,,,,
Test Cases/PREFIX ID/0899 TRI,,,,2023-08-28 13:52:21,2023-08-28 13:52:23,2.207s,FAILED
randomNum = generateRandomNumber(),,,,2023-08-28 13:52:21,2023-08-28 13:52:21,0.000s,PASSED
random = new java.util.Random(),,,,2023-08-28 13:52:21,2023-08-28 13:52:21,0.000s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",,,,2023-08-28 13:52:21,2023-08-28 13:52:21,0.000s,PASSED
"randomNumber = ""0899"" + lastNineDigits",,,,2023-08-28 13:52:21,2023-08-28 13:52:21,0.000s,PASSED
return randomNumber,,,,2023-08-28 13:52:21,2023-08-28 13:52:21,0.000s,PASSED
"openBrowser("""")",,,,2023-08-28 13:52:21,2023-08-28 13:52:23,1.984s,FAILED
